name,runtime(s),tokens/second
warmup,0.303645,164.666127
1b_50g_short,0.165201,302.661207
1b_50g_medium,0.245824,203.397297
1b_50g_long,0.324091,154.277764
1b_100g_short,0.362902,275.556760
1b_100g_medium,0.506342,197.495127
1b_100g_long,0.644541,155.149122
1b_200g_long,1.454154,137.537059
1b_500g_long,5.060784,98.798926
4b_50g_short,0.297854,671.469547
4b_50g_medium,0.596799,335.121398
4b_50g_long,0.922036,216.911159
4b_200g_long,4.264638,187.589186
8b_200g_long,8.044055,198.904666
16b_200g_long,15.558643,205.673464
32b_200g_long,30.571186,209.347457
GEOMEAN,0.000000,213.196567
